Fecha;Lugar_Extraccion;Departamento;Tipo_Muestra;Tipo_Analisis;Operador_Solicitante;Observaciones
21/09/2017;Reclamo AySAM , Familia Necochea;San Martin;Agua;Bacteriológico, Básico;AySAM, Reclamo;
26/09/2017;CORRALCOOP Pozo Arena;Gllen;Agua;Bacteriológico, Básico;O.G.C.;
26/09/2017;CORRALCOOP Pozo Sanchez;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
26/09/2017;CORRALCOOP Pozo 1 Colonia Segovia;Gllen;Agua;Bacteriológico, Básico;O.G.C.;
26/09/2017;CORRALCOOP Pozo 2 Colonia Segovia;Gllen;Agua;Bacteriológico, Básico;O.G.C.;
26/09/2017;CORRALCOOP Pozo Pelayes;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
27/09/2017;Asoc. El Borbollón - Las Colectivas;Las Heras;Agua;Bacteriológico, Completo;O.G.C.;
27/09/2017;Esc. Martinez de Rosas- El Pastal;Las Heras;Agua;Bacteriológico, Básico;O.G.C.;
27/09/2017;Asoc. A P El Borbollón - Santo Tomas de Aquino;Las Heras;Agua;Bacteriológico, Completo;O.G.C.;
27/09/2017;Escuela Calendaria - La Polvosa;Las Heras;Agua;Bacteriológico, Básico;O.G.C.;
02/10/2017;Uion Vecinal Villa Adela;San Martin;Agua;Bacteriológico, Básico;O.G.C.;
02/10/2017;AySAM PTLC San Martin Entrada;San Martin;Efluente;Bacteriológico, Básico;AySAM, P.T.L.C.;
02/10/2017;AySAM PTLC San Martin Salida;San Martin;Efluente;Bacteriológico, Básico;AySAM, P.T.L.C.;
02/10/2017;AySAM PTLC Palmira Entrada;San Martin;Efluente;Bacteriológico, Básico;AySAM, P.T.L.C.;
02/10/2017;AySAM PTLC Palmira Salida;San Martin;Efluente;Bacteriológico, Básico;AySAM, P.T.L.C.;
03/10/2017;Pozo Granja Penal-Ruta 142;Lavalle;Agua;Bacteriológico, Completo;O.G.C.;
03/10/2017;U.V. Asoc. V. Oeste G André, La Floresta;Lavalle;Agua;Bacteriológico, Básico;O.G.C.;
03/10/2017;Serv. Munic, San Pedro, Shameauta;Lavalle;Agua;Bacteriológico, Básico;O.G.C.;
09/10/2017;U. Vec. Km 8, ISCAMEN;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
09/10/2017;U. Vec. Km 8 Pozo 2 Arena;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
09/10/2017;U. Vec. Km 8, Pozo 1, B de los Andes;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
09/10/2017;Coop. R.de la Cruz, Pozo 3, S. Bolivar;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
10/10/2017;Union Vecinal El Ñango;San Martin;Agua;Bacteriológico, Básico;O.G.C.;
10/10/2017;"Fca Guerrero ""El Ñango""";San Martin;Agua;Bacteriológico, Básico;O.G.C.;Factibilidad para U.V. El Ñango
10/10/2017;"Fca Sotano ""El Ñango""";San Martin;Agua;Bacteriológico, Básico;O.G.C.;Factibilidad para U.V. El Ñango
10/10/2017;"Esc. Hudson ""El Ñango""";San Martin;Agua;Bacteriológico, Básico;O.G.C., D.G.E.;
24/10/2017;AySAM PTLC La Paz Salida;La Paz;Efluente;Bacteriológico, Básico;AySAM, P.T.L.C.;
24/10/2017;AySAM PTLC La Paz Entrada;La Paz;Efluente;Bacteriológico, Básico;AySAM, P.T.L.C.;
24/10/2017;AySAM La Paz, Barrio Reactivacion M15 C2;La Paz;Agua;Bacteriológico, Básico;AySAM;
24/10/2017;AySAM La Paz, Crucero Gral Belgrano;La Paz;Agua;Bacteriológico, Básico;AySAM;
24/10/2017;Serv. Munic. Barrio La Menta;La Paz;Agua;Bacteriológico, Básico;O.G.C.;
24/10/2017;Esc. Martin Gil 4237 Santa Rosa;Snta Rosa;Agua;Completo;D.G.E.;
