FECHA ;LUGAR DE EXTRACCION;; MUESTRA;; ANALISIS;;;;OPERADOR;;;;;;;OBSERVACIONES
;;DEPTO;AGUA;EFLUENTE;BACTER.;IN SITU;BASICO;COMPLETO;AySAM;O.G.C.;D.G.E.;D.G.I.;OTROS;P.T.L.C.;RECLAMO;
26/04/2017;Rec 1269/17-Aysam C. de Araujo.Urquiza a pte;Lavalle;1;;;1;;;1;;;;;;1;
26/04/2017;Rec 1269/17-Aysam C. de Araujo.Urquiza 800;Lavalle;1;;;1;;;1;;;;;;1;
26/04/2017;Rec1269/17-Aysam C. de Araujo.Pozo 5;Lavalle;1;;1;;1;;1;;;;;;1;
17/05/2017;Red A.I y P Bº Urquiza, Mno Hist 11;Tunuyan;1;;1;;1;;;1;;;;;1;
17/05/2017;Red A.I y P Bº Urquiza, Mno Hist 85;Tunuyan;1;;1;;1;;;1;;;;;1;
17/05/2017;Red A.I y P Bº Urquiza, Mno Hist 98;Tunuyan;1;;1;;1;;;1;;;;;1;
17/05/2017;Red A.I y P Bº Urquiza, Olazabal 88;Tunuyan;1;;1;;1;;;1;;;;;1;
17/05/2017;Red A.I y P Bº Urquiza, Derqui 356;Tunuyan;1;;1;;1;;;1;;;;;1;
17/05/2017;Red A.I y P Bº Urquiza, Esc. Zara Guiard Btq;Tunuyan;1;;1;;1;;;1;;;;;1;
17/05/2017;Red A.I y P Bº Urquiza, Esc. Zara Guiard Ent.;Tunuyan;1;;1;;1;;;1;;;;;1;
18/05/2017;Reclamo AySAM Costa de Araujo;Lavalle;1;;1;;1;;1;;;;;;1;
24/05/2017;U.V. Zona Oeste G. Andre-La Floresta;Lavalle;1;;1;;1;;;1;;;;;;
29/05/2017;Rio Atuel Pto1: la Boxeadora;San Rafael;1;;1;;1;;;1;;1;;;;
29/05/2017;Rio Atuel Pto2: Antes de las aguaditas;San Rafael;1;;1;;1;;;1;;1;;;;
29/05/2017;Rio Atuel Pto3:  Toma Canal Marginal;San Rafael;1;;1;;1;;;1;;1;;;;
29/05/2017;Rio Atuel Pto 4: Puente antes de la Guevarina.;San Rafael;1;;1;;1;;;1;;1;;;;
05/06/2017;Corralcoop Pozo Godoy -Factibilidad;Gllen;1;;1;;1;;;1;;;;;;
05/06/2017;Esc. Miguel Ramponi bebedero;Gllen;1;;1;;1;;1;;;;;;;
05/06/2017;Esc. Miguel Ramponi  Cocina Agua Fria;Gllen;1;;1;;1;;1;;;;;;;
05/06/2017;Esc. Miguel Ramponi Cocina Agua Caliente;Gllen;1;;1;;1;;1;;;;;;;
12/06/2017;AySAM Bº Paraguay E-12;Gllen;1;;1;1;;;1;;;;;;;
12/06/2017;AySAM Bº Paraguay C-5;Gllen;1;;1;1;;;1;;;;;;;
12/06/2017;AySAM Bº Paraguay Jardin d Infantes;Gllen;1;;1;1;;;1;;;;;;;
26/06/2017;Loteo Inti, U.V. 19 Noviembre, Algarrobal;;1;;1;;1;;;1;;;;;;Factibilidad para U.V. 19 Nov
28/06/2017;Serv. Munic. Cordón del Plata 2;Tupungato;1;;1;;;1;;1;;;;;;
28/06/2017;Serv. Munic. Campo Vidal;Tupungato;1;;1;;;1;;1;;;;;;
28/06/2017;Serv. Munic.Pozo Tiza;Tupungato;1;;1;;;1;;1;;;;;;
28/06/2017;Serv. Munic. Gualtayari;Tupungato;1;;1;;;1;;1;;;;;;
28/06/2017;Serv. Munic. San José;Tupungato;1;;1;;;1;;1;;;;;;
04/07/2017;Serv. Munic. Paso de las Carretas;San Carlos;1;;1;;;1;;1;;;;;;
04/07/2017;Serv. Munic. Piedras Blancas;San Carlos;1;;1;;;1;;1;;;;;;
04/07/2017;U. Vec. Tres Esquinas;San Carlos;1;;1;;;1;;1;;;;;;
04/07/2017;Coop. Acción El Cepillo;San Carlos;1;;1;;;1;;1;;;;;;
04/07/2017;Serv. Munic Los Indios;San Carlos;1;;1;;;1;;1;;;;;;
04/07/2017;Serv.  Capiz Esc. D Vega;San Carlos;1;;1;;;1;;1;;;;;;
10/07/2017;U. Vec. Villa Seca;Tunuyan;1;;1;;;1;;1;;;;;;
10/07/2017;U. Vec. Los Sauces;Tunuyan;1;;1;;;1;;1;;;;;;
11/07/2017;Serv. Munic Los Arboles;Tunuyan;1;;1;;;1;;1;;;;;;
11/07/2017;U. Vec. Barrio Sol y Nieve;Tunuyan;1;;1;;;1;;1;;;;;;
11/07/2017;Union Vecinal Aº Grande Planta;Tunuyan;1;;1;;;1;;1;;;;;;
11/07/2017;Union Vecinal Aº Grande Red;Tunuyan;1;;1;;;1;;1;;;;;;
11/07/2017;Serv. Munic, Manzano Historico;Tunuyan;1;;1;;;1;;1;;;;;;
11/07/2017;Coop. Vista Flores 1;Tunuyan;1;;1;;;1;;1;;;;;;
11/07/2017;Coop. Vista Flores 2;Tunuyan;1;;1;;;1;;1;;;;;;
;U.Vec. Montecaseros;San Martin;1;;;;1;;;;;;;;;
13/07/2017;Alto Tirasso;Gllen;1;;;;1;;;;;;;;;
01/08/2017;U. Vec. La Libertad;Tunuyan;1;;1;;;1;;1;;;;;;
01/08/2017;Serv Puente Blanco;Tunuyan;1;;1;;;1;;1;;;;;;
01/08/2017;U.Vec. La Primavera;Tunuyan;1;;1;;;1;;1;;;;;;
01/08/2017;Coop. La Union 1;Tunuyan;1;;1;;;1;;1;;;;;;
01/08/2017;Coop. La Union 2;Tunuyan;1;;1;;;1;;1;;;;;;
02/08/2017;U. Vec. Barrio Noroeste 2;Tunuyan;1;;1;;;1;;1;;;;;;
02/08/2017;U.Vec. Barrio Noroeste 1;Tunuyan;1;;1;;;1;;1;;;;;;
02/08/2017;U.Vec. Dalmau;Tunuyan;1;;1;;;1;;1;;;;;;
02/08/2017;Pozo Ejercito San Rafael;San Rafael;1;;;;;1;;;;;;;;
14/08/2017;Union Vecinal Belgrano;Tunuyan;1;;1;;;1;;;;;;;;
15/08/2017;Consorsio el Peral;Tunuyan;1;;1;;;1;;;;;;;;
15/08/2017;Serv. Municipal Los Arboles.;Tunuyan;1;;;;1;;;1;;;;;;
15/08/2017;Union Vecinal Las Carreras;Tupungato;1;;1;;;1;;1;;;;;;
23/08/2017;Reclamo AySAM C. Araujo, Sgrignieri;Lavalle;1;;1;;1;;;;;;;;1;
23/08/2017;U. V. Ntra. Sra. del Carmen- Esc. Moretti;Lavalle;1;;1;;;1;;1;;;;;;
23/08/2017;U.V. Ntra. Sra. Del Carmen, Esc. Venezuela;Lavalle;1;;1;;;1;;1;;;;;;
23/08/2017;Union Vecinal Villa Cavero;Lavalle;1;;1;;;1;;1;;;;;;
29/08/2017;Union Vecinal SAN JOSE Acueducto;Lavalle;1;;1;;1;;;1;;;;;;
29/08/2017;Pozo U.V. San Jose ;Lavalle;1;;1;;1;;;1;;;;;;
29/08/2017;Asuncion Acueducto;Lavalle;1;;1;;1;;;1;;;;;;
29/08/2017;Pozo U. V.  Asuncion;Lavalle;1;;1;;1;;;1;;;;;;
29/08/2017;Asoc. Oeste G. André;Lavalle;1;;1;;;1;;1;;;;;;
29/08/2017;Serv. Munic, San Pedro, Shameauta;Lavalle;1;;1;;;1;;1;;;;;;
05/09/2017;Finca Brondstein. Municipalidad Lavalle;Lavalle;1;;1;;;1;;1;;;;;;
05/09/2017;Finca Cherry. Municipalidad Lavalle;Lavalle;1;;1;;;1;;1;;;;;;
12/09/2017;Esc. Fray Cayetano Rodriguez- Cocina;Lujan;1;;;;1;;;;1;;;;;
12/09/2017;Esc. Fray Cayetano Rodriguez- Pozo;Lujan;1;;;;1;;;;1;;;;;
14/09/2017;AySAM PTLC San Carlos Entrada;San Carlos;;1;;;;1;1;;;;;1;;
14/09/2017;AySAM PTLC San Carlos Salida;San Carlos;;1;;;;1;1;;;;;1;;
14/09/2017;AySAM PTLC Tunuyan Entrada;Tunuyan;;1;;;;1;1;;;;;1;;
14/09/2017;AySAM PTLC Tunuyan Salida;Tunuyan;;1;;;;1;1;;;;;1;;
21/09/2017;Cooperativa Bayo Pozo Nuevo;San Martin;1;;1;;;1;;1;;;;;;
21/09/2017;Reclamo AySAM , Familia Necochea;San Martin;1;;1;;1;;1;;;;;;1;
26/09/2017;CORRALCOOP Pozo Arena;Gllen;1;;1;;1;;;1;;;;;;
26/09/2017;CORRALCOOP Pozo Sanchez;Gllen;1;;1;;;1;;1;;;;;;
26/09/2017;CORRALCOOP Pozo 1 Colonia Segovia;Gllen;1;;1;;1;;;1;;;;;;
26/09/2017;CORRALCOOP Pozo 2 Colonia Segovia;Gllen;1;;1;;1;;;1;;;;;;
26/09/2017;CORRALCOOP Pozo Pelayes;Gllen;1;;1;;;1;;1;;;;;;
27/09/2017;Asoc. El Borbollón - Las Colectivas;Las Heras;1;;1;;;1;;1;;;;;;
27/09/2017;Esc. Martinez de Rosas- El Pastal;Las Heras;1;;1;;1;;;1;;;;;;
27/09/2017;Asoc. A P El Borbollón - Santo Tomas de Aquino;Las Heras;1;;1;;;1;;1;;;;;;
27/09/2017;Escuela Calendaria - La Polvosa;Las Heras;1;;1;;1;;;1;;;;;;
02/10/2017;Uion Vecinal Villa Adela;San Martin;1;;1;;1;;;1;;;;;;
02/10/2017;AySAM PTLC San Martin Entrada;San Martin;;1;1;;1;;1;;;;;1;;
02/10/2017;AySAM PTLC San Martin Salida;San Martin;;1;1;;1;;1;;;;;1;;
02/10/2017;AySAM PTLC Palmira Entrada;San Martin;;1;1;;1;;1;;;;;1;;
02/10/2017;AySAM PTLC Palmira Salida;San Martin;;1;1;;1;;1;;;;;1;;
03/10/2017;Pozo Granja Penal-Ruta 142;Lavalle;1;;1;;;1;;1;;;;;;
03/10/2017;U.V. Asoc. V. Oeste G André, La Floresta;Lavalle;1;;1;;1;;;1;;;;;;
03/10/2017;Serv. Munic, San Pedro, Shameauta;Lavalle;1;;1;;1;;;1;;;;;;
09/10/2017;U. Vec. Km 8, ISCAMEN ;Gllen;1;;1;;;1;;1;;;;;;
09/10/2017;U. Vec.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Km 8 Pozo 2 Arena;Gllen;1;;1;;;1;;1;;;;;;
09/10/2017;U. Vec. Km 8, Pozo 1,  B de los Andes;Gllen;1;;1;;;1;;1;;;;;;
09/10/2017;Coop. R.de la Cruz, Pozo 3,  S. Bolivar;Gllen;1;;1;;;1;;1;;;;;;
10/10/2017;Union Vecinal El Ñango;San Martin;1;;1;;1;;;1;;;;;;
10/10/2017;"Fca Guerrero ""El Ñango"" ";San Martin;1;;1;;1;;;1;;;;;;factibilidad para U.V. El Ñango
10/10/2017;"Fca Sotano ""El Ñango"" ";San Martin;1;;1;;1;;;1;;;;;;factibilidad para U.V. El Ñango
10/10/2017;"Esc. Hudson ""El Ñango""";San Martin;1;;1;;1;;;1;1;;;;;
24/10/2017;AySAM PTLC La Paz Salida;La Paz;;1;1;;1;;1;;;;;1;;
24/10/2017;AySAM PTLC La Paz Entrada;La Paz;;1;1;;1;;1;;;;;1;;
24/10/2017;AySAM La Paz, Barrio Reactivacion M15 C2;La Paz;1;;1;;1;;1;;;;;;;
24/10/2017;AySAM La Paz, Crucero Gral Belgrano ;La Paz;1;;1;;1;;1;;;;;;;
24/10/2017;Serv. Munic.  Barrio La Menta ;La Paz;1;;1;;1;;;1;;;;;;
24/10/2017;Esc. Martin Gil 4237 Santa Rosa;Snta Rosa;1;;;;;1;;;1;;;;;
